genus.species,fly,class,order,family,common.name,sum_mass,typical.diet,N_tot,total_transit,transit,avg_mass,re_class,transit_hrs,mass_kg,phylo_name_old,sci_name,phylo_name
Anoura geoffroyi,Y,Mammalia,Chiroptera,Phyllostomidae,Geoffrey's tailless bat,43.9,omnivore,22,2460,111.8181818,1.995454545,Bats,1.863636364,0.001995455,Anoura_geoffroyi,Anoura_geoffroyi,Anoura_geoffroyi
Artibeus jamaicensis,Y,Mammalia,Chiroptera,Phyllostomidae,Jamaican fruit bat,159.9,frugivore/nectarivore,26,2921.1,112.35,6.15,Bats,1.8725,0.00615,Artibeus_jamaicensis,Artibeus_jamaicensis,Artibeus_jamaicensis
Brachyphylla nana,Y,Mammalia,Chiroptera,Phyllostomidae,Antillean nectar bat,34.3,omnivore,8,326.4,40.8,4.2875,Bats,0.68,0.0042875,Brachyphylla_nana,Brachyphylla_nana,Brachyphylla_nana
Carollia perspicillata,Y,Mammalia,Chiroptera,Phyllostomidae,Seba's short-tailed bat,50.3,frugivore/nectarivore,29,1153.2,39.76551724,1.734482759,Bats,0.662758621,0.001734483,Carollia_perspicillata,Carollia_perspicillata,Carollia_perspicillata
Cynopterus brachyotis,Y,Mammalia,Chiroptera,Pteropodidae,Lesser Short-nosed Fruit Bat,37.3,frugivore/nectarivore,10,130,13,3.73,Bats,0.216666667,0.00373,Cynopterus_brachyotis,Cynopterus_brachyotis,Cynopterus_brachyotis
Cynopterus sphinx,Y,Mammalia,Chiroptera,Pteropodidae,Greater short-nosed fruit bat,75.3,frugivore/nectarivore,7,2809.8,401.4,10.75714286,Bats,6.69,0.010757143,Cynopterus_sphinx,Cynopterus_sphinx,Cynopterus_sphinx
Eidolon helvum,Y,Mammalia,Chiroptera,Pteropodidae,Straw-colored fruit bat,270.65,frugivore/nectarivore,20,2320,116,13.5325,Bats,1.933333333,0.0135325,Eidolon_helvum,Eidolon_helvum,Eidolon_helvum
Epomops buettikoferi,Y,Mammalia,Chiroptera,Pteropodidae,Buettikofer's epauletted fruit bat ,136,frugivore/nectarivore,1,69,69,136,Bats,1.15,0.136,Epomops_franqueti,Epomops_buettikoferi,Epomops_franqueti
Eptesicus fuscus,Y,Mammalia,Chiroptera,Vespertilionidae,Big Brown Bat,17.23,insectivore,22,2684,122,0.783181818,Bats,2.033333333,0.000783182,Vespertilionidae,Eptesicus_fuscus,Eptesicus_innoxius
Eptesicus serotinus,Y,Mammalia,Chiroptera,Vespertilionidae,Serotine bat,23.1,insectivore,5,440,88,4.62,Bats,1.466666667,0.00462,Eptesicus_serotinus,Eptesicus_serotinus,Eptesicus_serotinus
Leptonycteris curasoae,Y,Mammalia,Chiroptera,Phyllostomidae,Southern long-nosed bat,23.3,frugivore/nectarivore,5,575,115,4.66,Bats,1.916666667,0.00466,Leptonycteris_curasoae,Leptonycteris_curasoae,Leptonycteris_curasoae
Lissonycteris angolensis,Y,Mammalia,Chiroptera,Pteropodidae,Angolan rousette,58.5,frugivore/nectarivore,1,50,50,58.5,Bats,0.833333333,0.0585,Lissonycteris_angolensis,Myonycteris_angolensis,Lissonycteris_angolensis
Molossus molossus,Y,Mammalia,Chiroptera,Molossidae,Velvety free-tailed bat,10.7,insectivore,5,600,120,2.14,Bats,2,0.00214,Molossus_molossus,Molossus_molossus,Molossus_molossus
Myonycteris torquata,Y,Mammalia,Chiroptera,Pteropodidae,little collared fruit bat,48,frugivore/nectarivore,1,28,28,48,Bats,0.466666667,0.048,Myonycteris_torquata,Myonycteris_torquata,Myonycteris_torquata
Myotis bechsteinii,Y,Mammalia,Chiroptera,Vespertilionidae,Bechstein's bat,8,insectivore,5,475,95,1.6,Bats,1.583333333,0.0016,Myotis_bechsteinii,Myotis_bechsteinii,Myotis_bechsteinii
Myotis daubentonii,Y,Mammalia,Chiroptera,Vespertilionidae,Daubenton's bat,7.6,insectivore,17,1530,90,0.447058824,Bats,1.5,0.000447059,Myotis_daubentonii,Myotis_daubentonii,Myotis_daubentonii
Myotis lucifugus,Y,Mammalia,Chiroptera,Vespertilionidae,little brown bat,9.5,insectivore,2,205,102.5,4.75,Bats,1.708333333,0.00475,Myotis_lucifugus,Myotis_lucifugus,Myotis_lucifugus
Myotis myotis,Y,Mammalia,Chiroptera,Vespertilionidae,Greater mouse-eared bat,46.8,insectivore,17,836,49.17647059,2.752941176,Bats,0.819607843,0.002752941,Myotis_myotis,Myotis_myotis,Myotis_myotis
Myotis nattereri,Y,Mammalia,Chiroptera,Vespertilionidae,Natterer's bat,6.8,insectivore,3,231,77,2.266666667,Bats,1.283333333,0.002266667,Myotis_nattereri,Myotis_nattereri,Myotis_nattereri
Nyctalus leisleri,Y,Mammalia,Chiroptera,Vespertilionidae,Lesser Noctule,12.5,insectivore,3,612,204,4.166666667,Bats,3.4,0.004166667,Nyctalus_leisleri,Nyctalus_leisleri,Nyctalus_leisleri
Nyctalus noctula,Y,Mammalia,Chiroptera,Vespertilionidae,Noctule,54.5,insectivore,10,658,65.8,5.45,Bats,1.096666667,0.00545,Nyctalus_noctula,Nyctalus_noctula,Nyctalus_noctula
Nyctimene rabori,Y,Mammalia,Chiroptera,Pteropodidae,Philippine tube-nosed fruit bat,75,frugivore/nectarivore,3,172.5,57.5,25,Bats,0.958333333,0.025,Nyctimene,Nyctimene_rabori,Nyctimene_albiventer
Nyctophilus gouldi,Y,Mammalia,Chiroptera,Vespertilionidae,Gould's long-eared bat,9,insectivore,36,2027.999988,56.333333,0.25,Bats,0.938888883,0.00025,Nyctophilus_gouldi,Nyctophilus_gouldi,Nyctophilus_gouldi
Phyllostomus discolor,Y,Mammalia,Chiroptera,Phyllostomidae,pale spear-nosed bat,35,omnivore,6,201.6,33.6,5.833333333,Bats,0.56,0.005833333,Phyllostomus_discolor,Phyllostomus_discolor,Phyllostomus_discolor
Pipistrellus pipistrellus,Y,Mammalia,Chiroptera,Vespertilionidae,Common pipistrelle,5.1,insectivore,7,483,69,0.728571429,Bats,1.15,0.000728571,Pipistrellus_pipistrellus,Pipistrellus_pipistrellus,Pipistrellus_pipistrellus
Plecotus auritus,Y,Mammalia,Chiroptera,Vespertilionidae,Brown long-eared bat,6.9,insectivore,6,552,92,1.15,Bats,1.533333333,0.00115,Plecotus_auritus,Plecotus_auritus,Plecotus_auritus
Ptenochirus jagorii,Y,Mammalia,Chiroptera,Pteropodidae,Greater musky fruit bat,79.5,frugivore/nectarivore,5,287.5,57.5,15.9,Bats,0.958333333,0.0159,Ptenochirus_jagorii,Ptenochirus_jagorii,Ptenochirus_jagorii
Pteronotus rubiginosus,Y,Mammalia,Chiroptera,Mormoopidae,Parnell's mustached bat,24.1,insectivore,5,600,120,4.82,Bats,2,0.00482,Pteronotus_rubiginosus,Pteronotus_rubiginosus,Pteronotus_rubiginosus
Pteropus alecto,Y,Mammalia,Chiroptera,Pteropodidae,Black flying fox,540,frugivore/nectarivore,1,30,30,540,Bats,0.5,0.54,Pteropus_alecto,Pteropus_alecto,Pteropus_alecto
Pteropus poliocephalus,Y,Mammalia,Chiroptera,Pteropodidae,Grey-headed flying fox,692,frugivore/nectarivore,1,28.5,28.5,692,Bats,0.475,0.692,Pteropus_poliocephalus,Pteropus_poliocephalus,Pteropus_poliocephalus
Pteropus rufus,Y,Mammalia,Chiroptera,Pteropodidae,Madagascan Flying Fox,625,frugivore/nectarivore,4,120,30,156.25,Bats,0.5,0.15625,Pteropus_rufus,Pteropus_lylei,Pteropus_rufus
Rousettus aegyptiacus,Y,Mammalia,Chiroptera,Pteropodidae,Egyptian fruit bat,127.5,frugivore/nectarivore,1,20,20,127.5,Bats,0.333333333,0.1275,Rousettus_aegyptiacus,Rousettus_aegyptiacus,Rousettus_aegyptiacus
Scotonycteris zenkeri,Y,Mammalia,Chiroptera,Pteropodidae,Zenker's fruit bat,20.5,frugivore/nectarivore,1,24,24,20.5,Bats,0.4,0.0205,Scotonycteris_zenkeri,Scotonycteris_zenkeri,Scotonycteris_zenkeri
Sturnira lilium,Y,Mammalia,Chiroptera,Phyllostomidae,little yellow-shouldered bat,61.7,frugivore/nectarivore,13,1375.4,105.8,4.746153846,Bats,1.763333333,0.004746154,Sturnira_lilium,Sturnira_lilium,Sturnira_lilium
Syconycteris australis,Y,Mammalia,Chiroptera,Pteropodidae,Common blossum bat,39.4,frugivore/nectarivore,6,399,66.5,6.566666667,Bats,1.108333333,0.006566667,Syconycteris_australis,Syconycteris_australis,Syconycteris_australis
Vespertilio murinus,Y,Mammalia,Chiroptera,Vespertilionidae,Parti-colored bat,14.3,insectivore,5,510,102,2.86,Bats,1.7,0.00286,Vespertilio_murinus,Vespertilio_murinus,Vespertilio_murinus
Canis familiaris,N,Mammalia,Carnivora,Canidae,domestic dog,90889.825,carnivore,43,63810,1483.953488,2113.71686,Carnivores,24.73255814,2.11371686,Canis_familiaris,Canis_familiaris,Canis_lupus
Felis catus,N,Mammalia,Carnivora,Felidae,domestic cat,11495,carnivore,50,75514.2,1510.284,229.9,Carnivores,25.1714,0.2299,Felis_catus,Felis_catus,Felis_catus
Lutra canadensus,N,Mammalia,Carnivora,Mustelidae,Northern river otter,9500,carnivore,12,2424,202,791.6666667,Carnivores,3.366666667,0.791666667,Lutra_lutra,Lontra_canadensus,Lontra_canadensis
Martes melampus,N,Mammalia,Carnivora,Mustelidae,Japanese marten,1400,omnivore,4,1776,444,350,Carnivores,7.4,0.35,Martes_melampus,Martes_melampus,Martes_melampus
Mustela putorius furo,N,Mammalia,Carnivora,Mustelidae,European ferret,1357,carnivore,18,3272.4,181.8,75.38888889,Carnivores,3.03,0.075388889,Mustela_putorius,Mustela_putorius_furo,Mustela_putorius
Neovison vison,N,Mammalia,Carnivora,Mustelidae,American mink,9697.5,carnivore,19,3504.4,184.4421053,510.3947368,Carnivores,3.074035088,0.510394737,Neovison_vison,Neovison_vison,Neogale_vison
Acanthagenys refogularis,Y,Aves,Passeriformes,Meliphagidae,spiny cheeked honeyeater,54.5,omnivore,6,243.4,40.56666667,9.083333333,Flying Birds,0.676111111,0.009083333,Acanthagenys_rufogularis,Acanthagenys_refogularis,Acanthagenys_rufogularis
Buteo jamaicensis,Y,Aves,Accipitriformes,Accipitridae,Red-tailed hawks,1009.5,carnivore,9,900,100,112.1666667,Flying Birds,1.666666667,0.112166667,Buteo_jamaicensis,Buteo_jamaicensis,Buteo_jamaicensis
Caracara plancus,Y,Aves,Falconiformes,Falconidae,Southern crested caracara,1348,carnivore,6,4020,670,224.6666667,Flying Birds,11.16666667,0.224666667,Caracara_plancus,Caracara_plancus,Caracara_plancus
Cinnyris osea,Y,Aves,Passeriformes,Nectariniidae,Palestine sunbird,6.15,frugivore/nectarivore,14,484.4,34.6,0.439285714,Flying Birds,0.576666667,0.000439286,Cinnyris_venustus,Cinnyris_osea,Cinnyris_bouvieri
Columba livia,Y,Aves,Columbiformes,Columbidae,Rock dove,358.7,omnivore,6,1620,270,59.78333333,Flying Birds,4.5,0.059783333,Columba_livia,Columba_livia,Columba_livia
Coturnix coturnix japonica,Y,Aves,Galliformes,Phasianidae,Japanese quail,144,omnivore,64,4992,78,2.25,Flying Birds,1.3,0.00225,Coturnix_coturnix_japonica,Coturnix_coturnix_japonica,Coturnix_japonica
Dicaeum hirundinaceum,Y,Aves,Passeriformes,Dicaeidae,mistletoe bird,9.25,frugivore/nectarivore,4,54.66666668,13.66666667,2.3125,Flying Birds,0.227777778,0.0023125,Dicaeum_melanozanthum,Dicaeum_hirundinaceum,Dicaeum_melanozanthum
Gallus gallus domesticus,Y,Aves,Galliformes,Phasianidae,domestic chicken,18061.4,omnivore,233,41275.73333,177.1490701,77.5167382,Flying Birds,2.952484502,0.077516738,Gallus_gallus,Gallus_gallus_domesticus,Gallus_gallus
Manacus vitellinus,Y,Aves,Passeriformes,Pipridae,golden-collared manakin,17.9,frugivore/nectarivore,8,133.8666666,16.73333333,2.2375,Flying Birds,0.278888889,0.0022375,Manacus_vitellinus,Manacus_vitellinus,Manacus_vitellinus
Nymphicus hollandicus,Y,Aves,Psittaciformes,Psittacidae,Cockatiel,97,frugivore/nectarivore,12,720,60,8.083333333,Flying Birds,1,0.008083333,Nymphicus_hollandicus,Nymphicus_hollandicus,Nymphicus_hollandicus
Pipra mentalis,Y,Aves,Passeriformes,Pipridae,Red-capped manakin,14.2,frugivore/nectarivore,6,91.39999998,15.23333333,2.366666667,Flying Birds,0.253888889,0.002366667,Ceratopipra_mentalis,Pipra_mentalis,Pipra_fasciicauda
Psittacus erithacus,Y,Aves,Psittaciformes,Psittacidae,African grey parrot,446,omnivore,8,2100,262.5,55.75,Flying Birds,4.375,0.05575,Psittacus_erithacus,Psittacus_erithacus,Psittacus_erithacus
Strix varia,Y,Aves,Strigiformes,Strigidae,Barred owl,790,carnivore,12,654.999996,54.583333,65.83333333,Flying Birds,0.909722217,0.065833333,Strix_uralensis,Strix_varia,Strix_uralensis
Zosterops pallidus,Y,Aves,Passeriformes,Zosteropidae,Cape White-eye,31.49,omnivore,30,592.7,19.75666667,1.049666667,Flying Birds,0.329277778,0.001049667,Zosterops_pallidus,Zosterops_pallidus,Zosterops_pallidus
Allenopithecus nigroviridis,N,Mammalia,Primates,Cercopithecidae,Allen’s swamp monkey ,9800,folivore,3,3960,1320,3266.666667,Primates,22,3.266666667,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis_,Allenopithecus_nigroviridis
Callithrix jacchus,N,Mammalia,Primates,Cebidae,common marmoset,696,omnivore,6,1296,216,116,Primates,3.6,0.116,Callithrix_jacchus,Callithrix_jacchus,Callithrix_jacchus
Cercopithecus albogularis schwarzi,N,Mammalia,Primates,Cercopithecidae,samango monkey,5350,frugivore/nectarivore,2,2505,1252.5,2675,Primates,20.875,2.675,Cercopithecus_dryas,Cercopithecus_albogularis_schwarzi,Cercopithecus_albogularis
Cercopithecus ascanius,N,Mammalia,Primates,Cercopithecidae,Red-tailed monkey,8785,frugivore/nectarivore,3,3600,1200,2928.333333,Primates,20,2.928333333,Cercopithecus_ascanius,Cercopithecus_ascanius,Cercopithecus_ascanius
Cercopithecus erythrotis,N,Mammalia,Primates,Cercopithecidae,Red-eared guenon,3585,frugivore/nectarivore,1,1236,1236,3585,Primates,20.6,3.585,Cercopithecus_erythrotis,Cercopithecus_erythrotis,Cercopithecus_erythrotis
Cercopithecus lhoesti,N,Mammalia,Primates,Cercopithecidae,L’Hoest’s monkey ,3550,folivore,2,2832,1416,1775,Primates,23.6,1.775,Allochrocebus_lhoesti,Cercopithecus_lhoesti_,Allochrocebus_lhoesti
Cercopithecus mitis,N,Mammalia,Primates,Cercopithecidae,Blue monkey,8600,frugivore/nectarivore,2,2028,1014,4300,Primates,16.9,4.3,Cercopithecus_nictitans,Cercopithecus_mitis,Cercopithecus_mitis
Cercopithecus neglectus,N,Mammalia,Primates,Cercopithecidae,De Brazza's monkey,6500,frugivore/nectarivore,2,2472,1236,3250,Primates,20.6,3.25,Cercopithecus_neglectus,Cercopithecus_neglectus,Cercopithecus_neglectus
Cercopithecus pogonias,N,Mammalia,Primates,Cercopithecidae,Crested mona monkey,3300,frugivore/nectarivore,2,1992,996,1650,Primates,16.6,1.65,Cercopithecus_pogonias_grayi,Cercopithecus_pogonias,Cercopithecus_pogonias
Cercopithecus talapoin,N,Mammalia,Primates,Cercopithecidae,Talapoin monkey,1600,frugivore/nectarivore,2,1440,720,800,Primates,12,0.8,Cercopithecus_talapoin,Miopithecus_talapoin,Miopithecus_talapoin
Eulemur fulvus,N,Mammalia,Primates,Lemuridae,common brown lemur ,2258.6,frugivore/nectarivore,6,1152,192,376.4333333,Primates,3.2,0.376433333,Eulemur_coronatus,Eulemur_fulvus,Eulemur_coronatus
Hapalemur griseus,N,Mammalia,Primates,Lemuridae,Eastern lesser bamboo lemur,1050,folivore,6,10900.8,1816.8,175,Primates,30.28,0.175,Eulemur_coronatus,Hapalemur_griseus,Hapalemur_aureus
Lophocebus albigena,N,Mammalia,Primates,Cercopithecidae,Gray-cheecked mangabey,5300,frugivore/nectarivore,2,2724,1362,2650,Primates,22.7,2.65,Lophocebus_albigena,Lophocebus_albigena,Lophocebus_albigena
Macaca fuscata,N,Mammalia,Primates,Cercopithecidae,Japanese macaque,8600,frugivore/nectarivore,5,6600,1320,1720,Primates,22,1.72,Macaca_fuscata,Macaca_fuscata,Macaca_fuscata
Pan paniscus,N,Mammalia,Primates,Hominidae,Bonobo,39000,frugivore/nectarivore,19,27360,1440,2052.631579,Primates,24,2.052631579,Pan_paniscus,Pan_paniscus,Pan_paniscus
Pan troglodytes,N,Mammalia,Primates,Hominidae,Chimpanzee,58400,omnivore,2,2784,1392,29200,Primates,23.2,29.2,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes
Pithecia pithecia,N,Mammalia,Primates,Pitheciidae,white-faced saki,1712.5,folivore,4,3504,876,428.125,Primates,14.6,0.428125,Pithecia_pithecia,Pithecia_pithecia,Pithecia_pithecia
Pongo pygmaeus,N,Mammalia,Primates,Hominidae,Bornean orangutan,213891.6667,frugivore/nectarivore,12,36228,3019,17824.30556,Primates,50.31666667,17.82430556,Pongo_pygmaeus,Pongo_pygmaeus,Pongo_pygmaeus
Propithecus coquereli,N,Mammalia,Primates,Indriidae,Coquerel's sifaka,3396,folivore,6,8830.8,1471.8,566,Primates,24.53,0.566,Propithecus_coquereli,Propithecus_verreauxi_coquereli,Propithecus_coquereli
Rhinopithecus bieti,N,Mammalia,Primates,Cercopithecidae,Snub-Nosed Monkey,23500,folivore,6,10080,1680,3916.666667,Primates,28,3.916666667,Rhinopithecus_bieti,Rhinopithecus_bieti,Rhinopithecus_bieti
Varecia variegata,N,Mammalia,Primates,Lemuridae,black-and-white-ruffed lemur,3622,frugivore/nectarivore,6,1423.8,237.3,603.6666667,Primates,3.955,0.603666667,Varecia_variegata,Varecia_variegata,Varecia_variegata
Atheris nitscheri,N,Reptilia,Squamata,Viperidae,Great Lakes bush viper,NA,carnivore,3,31104,10368,NA,Reptiles,172.8,NA,Atheris_nitschei,Atheris_squamigera,Atheris_squamigera
Bitis arietans,N,Reptilia,Squamata,Viperidae,puff ader,945.4,carnivore,5,212400,42480,189.08,Reptiles,708,0.18908,Bitis_arietans,Bitis_arietans,Bitis_arietans
Bitis gabonica,N,Reptilia,Squamata,Viperidae,Gaboon viper,1172,carnivore,8,1324800,165600,146.5,Reptiles,2760,0.1465,Bitis_gabonica,Bitis_gabonica,Bitis_gabonica
Caretta caretta,N,Reptilia,Testudines,Cheloniidae,Loggerhead sea turtle,37867.5,omnivore,38,643824,16942.73684,996.5131579,Reptiles,282.3789474,0.996513158,Caretta_caretta,Caretta_caretta,Caretta_caretta
Chelonia mydas,N,Reptilia,Testudines,Cheloniidae,green sea turtle,12200,omnivore,13,181497.6,13961.35385,938.4615385,Reptiles,232.6892308,0.938461538,Chelonia_mydas,Chelonia_mydas,Chelonia_mydas
Corallus caninus,N,Reptilia,Squamata,Boidae,emerald tree boa,1500,carnivore,8,292608,36576,187.5,Reptiles,609.6,0.1875,Corallus_caninus,Corallus_caninus,Corallus_caninus
Cordylus melanotus,N,Reptilia,Squamata,Cordylidae,common crag lizard,47.6,omnivore,19,164491.17,8657.43,2.505263158,Reptiles,144.2905,0.002505263,Cordylus_melanotus,Pseudocordylus_microlepidotus,Pseudocordylus_microlepidotus
Elaphe obsoleta,N,Reptilia,Squamata,Colubridae,black rat snake,500,carnivore,10,37440,3744,50,Reptiles,62.4,0.05,Elaphe_obsoleta,Pantheropis_obsoletus,Pantherophis_obsoletus
Emydura macquarii,N,Reptilia,Testudines,Chelidae,Australian short-necked turtle,8000,omnivore,16,128880,8055,500,Reptiles,134.25,0.5,Emydura_macquarii,Emydura_macquarii,Emydura_macquarii
Iguana iguana ,N,Reptilia,Squamata,Iguanidae,Green iguana,2350,folivore,5,18720,3744,470,Reptiles,62.4,0.47,Iguana_iguana,Iguana_iguana_,Iguana_iguana
Podarcis erhardii,N,Reptilia,Squamata,Lacertidae,Aegean wall lizard,5.78,carnivore,47,122200,2600,0.122978723,Reptiles,43.33333333,0.000122979,Podarcis_erhardii,Podarcis_muralis,Podarcis_erhardii
Pogona vitticeps,N,Reptilia,Squamata,Agamidae,Bearded dragon,243.4,omnivore,7,13020,1860,34.77142857,Reptiles,31,0.034771429,Pogona_vitticeps,Pogona_vitticeps,Pogona_vitticeps
Python molurus,N,Reptilia,Squamata,Boidae,Indian python,91000,carnivore,7,352800,50400,13000,Reptiles,840,13,Python_molurus,Python_molurus,Python_molurus
Python regius,N,Reptilia,Squamata,Pythonidae,Ball python,3900,carnivore,18,56160,3120,216.6666667,Reptiles,52,0.216666667,Python_regius,Python_regius,Python_regius
Stigmochelys pardalis,N,Reptilia,Testudines,Testudinidae,leopard tortoise,158177.5,folivore,12,56160,4680,13181.45833,Reptiles,78,13.18145833,Stigmochelys_pardalis,Stigmochelys_pardalis,Stigmochelys_pardalis
Terrapene carolina,N,Reptilia,Testudines,Emydidae,Florida box Turtle,359.5,omnivore,11,236148,21468,32.68181818,Reptiles,357.8,0.032681818,Terrapene_ornata,Terrapene_carolina,Terrapene_ornata
Trachemys scripta elegans,N,Reptilia,Testudines,Emydidae,Red-eared Slider Turtle,566.5,omnivore,8,59520,7440,70.8125,Reptiles,124,0.0708125,Trachemys_scripta_elegans,Trachemys_scripta_elegans,Trachemys_scripta_elegans
Trachylepis margaritifer,N,Reptilia,Squamata,Scincidae,Rainbow Skinks,37.3,carnivore,15,40725,2715,2.486666667,Reptiles,45.25,0.002486667,Trachylepis_comorensis,Trachylepis_comorensis,Trachylepis_margaritifera
Uromacer oxyrhynchus,N,Reptilia,Squamata,Colubridae,pointed snake,NA,carnivore,2,5184,2592,NA,Reptiles,43.2,NA,Uromacer_oxyrhynchus,Uromacer_oxyrhynchus,Uromacer_oxyrhynchus
Cavia porcellus,N,Mammalia,Rodentia,Caviidae,guinea pig,5212,folivore,56,15359.4,274.275,93.07142857,Rodents,4.57125,0.093071429,Cavia_porcellus,Cavia_porcellus,Cavia_porcellus
Dolichotis patagonum,N,Mammalia,Rodentia,Caviidae,Patagonian mara,14800,folivore,6,3600,600,2466.666667,Rodents,10,2.466666667,Dolichotis_patagonum,Dolichotis_patagonum,Dolichotis_patagonum
Lasiopodomys brandtii,N,Mammalia,Rodentia,Cricetidae,Brandt's vole,4.9,folivore,11,495,45,0.445454545,Rodents,0.75,0.000445455,Lasiopodomys_brandtii,Lasiopodomys_brandtii,Lasiopodomys_brandtii
Marmota caligata,N,Mammalia,Rodentia,Sciuridae,hoary marmot,4616,folivore,12,10836,903,384.6666667,Rodents,15.05,0.384666667,Marmota_caligata,Marmota_monax,Marmota_caligata
Meriones unguiculatus,N,Mammalia,Rodentia,Muridae,Mongolian gerbils,51.3,folivore,11,742.5,67.5,4.663636364,Rodents,1.125,0.004663636,Meriones_unguiculatus,Meriones_unguiculatus,Meriones_unguiculatus
Mesocricetus auratus,N,Mammalia,Rodentia,Cricetidae,hamster,210,folivore,14,6084,434.5714286,15,Rodents,7.242857143,0.015,Mesocricetus_auratus,Mesocricetus_auratus,Mesocricetus_auratus
Microtus townsendii,N,Mammalia,Rodentia,Cricetidae,Townsend vole,109.8,folivore,12,1224,102,9.15,Rodents,1.7,0.00915,Microtus_townsendii,Microtus_townsendii,Microtus_townsendii
Myocastor coypus,N,Mammalia,Rodentia,Echimyidae,nutria,8800,folivore,10,3240,324,880,Rodents,5.4,0.88,Myocastor_coypus,Myocastor_coypus,Myocastor_coypus
Octodon degus,N,Mammalia,Rodentia,Octodontidae,degu,354,folivore,16,4944,309,22.125,Rodents,5.15,0.022125,Octodon_degus,Octodon_degus,Octodon_degus
Phyllotis darwini,N,Mammalia,Rodentia,Cricetidae,Darwin's leaf-eared mouse,162,omnivore,12,3564,297,13.5,Rodents,4.95,0.0135,Phyllotis_darwini,Phyllotis_osilae,Phyllotis_magister
Rattus norvegicus,N,Mammalia,Rodentia,Muridae,common rat,590,omnivore,12,4752,396,49.16666667,Rodents,6.6,0.049166667,Rattus_norvegicus,Rattus_norvegicus,Rattus_norvegicus
Spermophilus columbianus,N,Mammalia,Rodentia,Sciuridae,Columbian ground squirrel,1152,folivore,12,8856,738,96,Rodents,12.3,0.096,Spermophilus_columbianus,Urocitellus_columbianus,Urocitellus_columbianus
Tamias amoenus,N,Mammalia,Rodentia,Sciuridae,yellow-pine chipmunk,123.8,omnivore,12,3420,285,10.31666667,Rodents,4.75,0.010316667,Tamias_amoenus,Tamias_amoenus,Tamias_amoenus
Bos taurus,N,Mammalia,Artiodactyla,Bovidae,cow,2114000,folivore,20,18922.28571,946.1142857,105700,Ungulates,15.76857143,105.7,Bos_taurus,Bos_taurus,Bos_taurus
Capra hircus,N,Mammalia,Artiodactyla,Bovidae,domestic goat,31000,folivore,27,81864,3032,1148.148148,Ungulates,50.53333333,1.148148148,Capra_hircus,Capra_hircus,Capra_hircus
Delphinapterus leucas,N,Mammalia,Artiodactyla,Monodontidae,beluga whale,718333.3333,carnivore,3,36540,12180,239444.4444,Ungulates,203,239.4444444,Delphinapterus_leucas,Delphinapterus_leucas,Delphinapterus_leucas
Lama glama,N,Mammalia,Artiodactyla,Camelidae,llama,2500,folivore,6,19800,3300,416.6666667,Ungulates,55,0.416666667,Lama_glama,Lama_glama,Lama_glama
Okapia johnstoni,N,Mammalia,Artiodactyla,Giraffidae,Okapi,290000,folivore,4,4050,1012.5,72500,Ungulates,16.875,72.5,Okapia_johnstoni,Okapia_johnstoni,Okapia_johnstoni
Ovis aries,N,Mammalia,Artiodactyla,Bovidae,domestic sheep,77200,folivore,14,11880,848.5714286,5514.285714,Ungulates,14.14285714,5.514285714,Ovis_aries,Ovis_aries,Ovis_aries
Sus scrofa,N,Mammalia,Artiodactyla,Suidae,pig,507000,omnivore,30,43630.8,1454.36,16900,Ungulates,24.23933333,16.9,Sus_scrofa,Sus_scrofa,Sus_scrofa